Q31	P1082	{'amount': '+11584008', 'unit': '1'}	{'time': '+2022-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}
Q31	P1082	{'amount': '+11584008', 'unit': '1'}	NaN
Q31	P38	Q4916	{'time': '+1999-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}
Q31	P2852	Q25648793	NaN
Q31	P2852	Q25648794	NaN
Q31	P2852	Q25648798	NaN
Q31	P395	B	{'time': '+1910-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}
Q31	P1448	{'text': 'Königreich Belgien', 'language': 'de'}	NaN
Q31	P1448	{'text': 'Koninkrijk België', 'language': 'nl'}	NaN
Q31	P1448	{'text': 'Royaume de Belgique', 'language': 'fr'}	NaN
Q31	P1552	Q3174312	NaN
Q31	P2573	{'amount': '+8330', 'unit': '1'}	{'time': '+2015-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}
Q31	P793	Q223933	{'time': '+1830-10-04T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}
Q31	P793	Q1160895	{'time': '+1839-04-19T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}
Q31	P530	Q183	NaN
Q31	P530	Q212	NaN
Q31	P530	Q212	{'time': '+1992-03-10T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}
Q31	P530	Q1246	NaN
Q31	P530	Q142	NaN
Q31	P530	Q145	NaN
Q31	P530	Q16	NaN
Q31	P530	Q252	NaN
Q31	P530	Q35	NaN
Q31	P530	Q43	NaN
Q31	P530	Q55	NaN
Q31	P530	Q77	NaN
Q31	P530	Q833	NaN
Q31	P530	Q843	NaN
Q31	P530	Q865	NaN
Q31	P530	Q96	NaN
Q31	P530	Q974	NaN
Q31	P530	Q30	NaN
Q31	P530	Q159	NaN
Q31	P530	Q668	NaN
Q31	P530	Q41	NaN
Q31	P530	Q148	NaN
